"ID";"Sex";"Regions";"Periods";"LiveBornChildren_3";"NetMigrationIncludingAdministrative_17"
"334";"T001038";"PV20  ";"1989JJ00";"    6284";"   -2319"
"335";"T001038";"PV20  ";"1990JJ00";"    6640";"    -541"
"336";"T001038";"PV20  ";"1991JJ00";"    6550";"    -554"
"337";"T001038";"PV20  ";"1992JJ00";"    6199";"    -392"
"338";"T001038";"PV20  ";"1993JJ00";"    6248";"     627"
"339";"T001038";"PV20  ";"1994JJ00";"    6455";"     305"
"340";"T001038";"PV20  ";"1995JJ00";"    6328";"    -888"
"341";"T001038";"PV20  ";"1996JJ00";"    6148";"    -616"
"342";"T001038";"PV20  ";"1997JJ00";"    6336";"    -952"
"343";"T001038";"PV20  ";"1998JJ00";"    6472";"     992"
"344";"T001038";"PV20  ";"1999JJ00";"    6515";"    1706"
"345";"T001038";"PV20  ";"2000JJ00";"    6510";"    2784"
"346";"T001038";"PV20  ";"2001JJ00";"    6626";"    3085"
"347";"T001038";"PV20  ";"2002JJ00";"    6523";"    1472"
"348";"T001038";"PV20  ";"2003JJ00";"    6438";"     288"
"349";"T001038";"PV20  ";"2004JJ00";"    6141";"    -321"
"350";"T001038";"PV20  ";"2005JJ00";"    5943";"   -1831"
"351";"T001038";"PV20  ";"2006JJ00";"    5838";"   -1186"
"352";"T001038";"PV20  ";"2007JJ00";"    5677";"    -999"
"353";"T001038";"PV20  ";"2008JJ00";"    5908";"    -166"
"354";"T001038";"PV20  ";"2009JJ00";"    5910";"    1811"
"355";"T001038";"PV20  ";"2010JJ00";"    5732";"    1968"
"356";"T001038";"PV20  ";"2011JJ00";"    5853";"    1232"
"357";"T001038";"PV20  ";"2012JJ00";"    5604";"     681"
"358";"T001038";"PV20  ";"2013JJ00";"    5326";"    1078"
"359";"T001038";"PV20  ";"2014JJ00";"    5414";"    1131"
"360";"T001038";"PV20  ";"2015JJ00";"    5329";"     -91"
"361";"T001038";"PV20  ";"2016JJ00";"    5406";"      55"
"362";"T001038";"PV20  ";"2017JJ00";"    5092";"     -45"
"363";"T001038";"PV20  ";"2018JJ00";"    4933";"    1744"
"364";"T001038";"PV20  ";"2019JJ00";"    5042";"    2313"
"365";"T001038";"PV20  ";"2020JJ00";"    4956";"    1803"
"366";"T001038";"PV21  ";"1960JJ00";"   10280";"   -4503"
"367";"T001038";"PV21  ";"1961JJ00";"   10412";"   -3215"
"368";"T001038";"PV21  ";"1962JJ00";"   10315";"   -2057"
"369";"T001038";"PV21  ";"1963JJ00";"   10517";"   -2125"
"370";"T001038";"PV21  ";"1964JJ00";"   10653";"   -1572"
"371";"T001038";"PV21  ";"1965JJ00";"   10791";"   -1014"
"372";"T001038";"PV21  ";"1966JJ00";"   10702";"    -675"
"373";"T001038";"PV21  ";"1967JJ00";"   10720";"   -1082"
"374";"T001038";"PV21  ";"1968JJ00";"   10843";"    -838"
"375";"T001038";"PV21  ";"1969JJ00";"   11279";"    -974"
"376";"T001038";"PV21  ";"1970JJ00";"   10826";"    -752"
"377";"T001038";"PV21  ";"1971JJ00";"   10436";"     279"
"378";"T001038";"PV21  ";"1972JJ00";"    9966";"    2039"
"379";"T001038";"PV21  ";"1973JJ00";"    9019";"    4277"
"380";"T001038";"PV21  ";"1974JJ00";"    8407";"    3202"
"381";"T001038";"PV21  ";"1975JJ00";"    8069";"    4211"
"382";"T001038";"PV21  ";"1976JJ00";"    8046";"    2730"
"383";"T001038";"PV21  ";"1977JJ00";"    7676";"    4123"
"384";"T001038";"PV21  ";"1978JJ00";"    7757";"    2904"
"385";"T001038";"PV21  ";"1979JJ00";"    7930";"    2726"
"386";"T001038";"PV21  ";"1980JJ00";"    8384";"    2049"
"387";"T001038";"PV21  ";"1981JJ00";"    8270";"     137"
"388";"T001038";"PV21  ";"1982JJ00";"    7925";"     258"
"389";"T001038";"PV21  ";"1983JJ00";"    7839";"    -653"
"390";"T001038";"PV21  ";"1984JJ00";"    7703";"   -1842"
"391";"T001038";"PV21  ";"1985JJ00";"    7770";"   -1958"
"392";"T001038";"PV21  ";"1986JJ00";"    7899";"   -1510"
"393";"T001038";"PV21  ";"1987JJ00";"    7733";"   -2225"
"394";"T001038";"PV21  ";"1988JJ00";"    7448";"   -1726"
"395";"T001038";"PV21  ";"1989JJ00";"    7594";"   -1961"
"396";"T001038";"PV21  ";"1990JJ00";"    7499";"    -999"
"397";"T001038";"PV21  ";"1991JJ00";"    7842";"    -521"
