,wijk,stadsdeel,year,woz-waarde
168,IJburg-West,Oost,2015,319688.0
169,IJburg-Zuid,Oost,2015,293659.0
170,Frankendael,Oost,2015,219283.0
171,Middenmeer,Oost,2015,275728.0
172,Betondorp,Oost,2015,185883.0
173,De Omval/Overamstel,Oost,2015,173995.0
174,Volewijck,Noord,2015,157332.0
175,IJplein/Vogelbuurt,Noord,2015,156395.0
176,Tuindorp Nieuwendam,Noord,2015,175622.0
177,Tuindorp Buiksloot,Noord,2015,169285.0
178,Nieuwendammerdijk/Buiksloterdijk,Noord,2015,387460.0
179,Tuindorp Oostzaan,Noord,2015,172054.0
180,Oostzanerwerf,Noord,2015,192289.0
181,Kadoelen,Noord,2015,267617.0
182,Waterlandpleinbuurt,Noord,2015,163369.0
183,Buikslotermeer,Noord,2015,150413.0
184,Banne Buiksloot,Noord,2015,168651.0
185,Noordelijke IJ-oevers-West,Noord,2015,246760.0
186,Noordelijke IJ-oevers-Oost,Noord,2015,211602.0
187,Waterland,Noord,2015,437326.0
188,Elzenhagen,Noord,2015,280083.0
189,Amstel III/Bullewijk,Zuidoost,2015,
190,"Bijlmer-Centrum (D,F,H)",Zuidoost,2015,123214.0
191,"Bijlmer-Oost (E,G,K)",Zuidoost,2015,143943.0
192,Nellestein,Zuidoost,2015,137902.0
193,Holendrecht/Reigersbos,Zuidoost,2015,143554.0
194,Gein,Zuidoost,2015,161513.0
195,Driemond,Zuidoost,2015,224884.0
196,Burgwallen-Oude Zijde,Centrum,2016,289984.0
197,Burgwallen-Nieuwe Zijde,Centrum,2016,296762.0
198,Grachtengordel-West,Centrum,2016,560841.0
199,Grachtengordel-Zuid,Centrum,2016,531225.0
200,Nieuwmarkt/Lastage,Centrum,2016,340364.0
201,Haarlemmerbuurt,Centrum,2016,345189.0
202,Jordaan,Centrum,2016,307344.0
203,De Weteringschans,Centrum,2016,399942.0
204,Weesperbuurt/Plantage,Centrum,2016,353628.0
205,Oostelijke Eilanden/Kadijken,Centrum,2016,276481.0
206,Westelijk Havengebied,Westpoort,2016,224491.0
207,Houthavens,West,2016,188360.0
208,Spaarndammer- en Zeeheldenbuurt,West,2016,222371.0
209,Staatsliedenbuurt,West,2016,241366.0
210,Centrale Markt,West,2016,291913.0
211,Frederik Hendrikbuurt,West,2016,248089.0
212,Da Costabuurt,West,2016,297765.0
213,Kinkerbuurt,West,2016,248384.0
214,Van Lennepbuurt,West,2016,234660.0
215,Helmersbuurt,West,2016,346461.0
216,Overtoomse Sluis,West,2016,298880.0
217,Vondelbuurt,West,2016,630566.0
218,Sloterdijk,West,2016,296372.0
219,Landlust,West,2016,188962.0
220,Erasmuspark,West,2016,194418.0
221,De Kolenkit,West,2016,182309.0
222,Geuzenbuurt,West,2016,229124.0
223,Van Galenbuurt,West,2016,196805.0
224,Hoofdweg eo,West,2016,193554.0
225,Westindische Buurt,West,2016,247949.0
226,Chassébuurt,West,2016,241280.0
227,Bedrijventerrein Sloterdijk,Nieuw-West,2016,
228,Slotermeer-Noordoost,Nieuw-West,2016,139872.0
229,Slotermeer-Zuidwest,Nieuw-West,2016,143594.0
230,Geuzenveld,Nieuw-West,2016,171341.0
231,Eendracht,Nieuw-West,2016,240299.0
232,Lutkemeer/Ookmeer,Nieuw-West,2016,388082.0
233,Osdorp-Oost,Nieuw-West,2016,169012.0
234,Osdorp-Midden,Nieuw-West,2016,187561.0
235,De Punt,Nieuw-West,2016,158564.0
236,Middelveldsche Akerpolder,Nieuw-West,2016,279607.0
237,Slotervaart-Noord,Nieuw-West,2016,191417.0
238,Overtoomse Veld,Nieuw-West,2016,183992.0
239,Westlandgracht,Nieuw-West,2016,207142.0
240,Sloter-/Riekerpolder,Nieuw-West,2016,266544.0
241,Slotervaart-Zuid,Nieuw-West,2016,185007.0
242,Zuidas,Zuid,2016,265945.0
243,Oude Pijp,Zuid,2016,277590.0
244,Nieuwe Pijp,Zuid,2016,261891.0
245,Zuid-Pijp,Zuid,2016,262840.0
246,Hoofddorppleinbuurt,Zuid,2016,263192.0
247,Schinkelbuurt,Zuid,2016,260700.0
248,Willemspark,Zuid,2016,648801.0
249,Museumkwartier,Zuid,2016,618389.0
250,Stadionbuurt,Zuid,2016,297906.0
251,Apollobuurt,Zuid,2016,677933.0
252,Scheldebuurt,Zuid,2016,333869.0
253,IJselbuurt,Zuid,2016,260950.0
254,Rijnbuurt,Zuid,2016,251698.0
255,Prinses Irenebuurt eo,Zuid,2016,509568.0
256,Buitenveldert-West,Zuid,2016,261931.0
257,Buitenveldert-Oost,Zuid,2016,241511.0
258,Weesperzijde,Oost,2016,306506.0
259,Oosterparkbuurt,Oost,2016,237609.0
260,Dapperbuurt,Oost,2016,244155.0
261,Transvaalbuurt,Oost,2016,233221.0
262,Indische Buurt-West,Oost,2016,200048.0
263,Indische Buurt-Oost,Oost,2016,213074.0
264,Oostelijk Havengebied,Oost,2016,341516.0
265,Zeeburgereiland/Nieuwe Diep,Oost,2016,145825.0
266,IJburg-West,Oost,2016,335210.0
267,IJburg-Zuid,Oost,2016,301349.0
268,Frankendael,Oost,2016,228093.0
269,Middenmeer,Oost,2016,293793.0
270,Betondorp,Oost,2016,190501.0
271,De Omval/Overamstel,Oost,2016,153618.0
272,Volewijck,Noord,2016,159440.0
273,IJplein/Vogelbuurt,Noord,2016,170429.0
274,Tuindorp Nieuwendam,Noord,2016,184874.0
275,Tuindorp Buiksloot,Noord,2016,174508.0
276,Nieuwendammerdijk/Buiksloterdijk,Noord,2016,395063.0
277,Tuindorp Oostzaan,Noord,2016,179297.0
278,Oostzanerwerf,Noord,2016,195648.0
279,Kadoelen,Noord,2016,275296.0
280,Waterlandpleinbuurt,Noord,2016,173333.0
281,Buikslotermeer,Noord,2016,154881.0
282,Banne Buiksloot,Noord,2016,177431.0
283,Noordelijke IJ-oevers-West,Noord,2016,251052.0
284,Noordelijke IJ-oevers-Oost,Noord,2016,223900.0
285,Waterland,Noord,2016,442483.0
286,Elzenhagen,Noord,2016,287122.0
287,Amstel III/Bullewijk,Zuidoost,2016,
288,"Bijlmer-Centrum (D,F,H)",Zuidoost,2016,121273.0
289,"Bijlmer-Oost (E,G,K)",Zuidoost,2016,148343.0
290,Nellestein,Zuidoost,2016,134903.0
291,Holendrecht/Reigersbos,Zuidoost,2016,147751.0
292,Gein,Zuidoost,2016,165247.0
293,Driemond,Zuidoost,2016,234149.0
294,Burgwallen-Oude Zijde,Centrum,2017,339548.0
295,Burgwallen-Nieuwe Zijde,Centrum,2017,351214.0
296,Grachtengordel-West,Centrum,2017,674610.0
297,Grachtengordel-Zuid,Centrum,2017,627625.0
298,Nieuwmarkt/Lastage,Centrum,2017,386716.0
299,Haarlemmerbuurt,Centrum,2017,403267.0
300,Jordaan,Centrum,2017,347740.0
301,De Weteringschans,Centrum,2017,458010.0
302,Weesperbuurt/Plantage,Centrum,2017,413388.0
303,Oostelijke Eilanden/Kadijken,Centrum,2017,316261.0
304,Westelijk Havengebied,Westpoort,2017,
305,Houthavens,West,2017,349525.0
306,Spaarndammer- en Zeeheldenbuurt,West,2017,256300.0
307,Staatsliedenbuurt,West,2017,277214.0
308,Centrale Markt,West,2017,328441.0
309,Frederik Hendrikbuurt,West,2017,282776.0
310,Da Costabuurt,West,2017,339699.0
311,Kinkerbuurt,West,2017,291110.0
312,Van Lennepbuurt,West,2017,272741.0
313,Helmersbuurt,West,2017,401695.0
314,Overtoomse Sluis,West,2017,344820.0
315,Vondelbuurt,West,2017,754544.0
316,Sloterdijk,West,2017,369842.0
317,Landlust,West,2017,228885.0
318,Erasmuspark,West,2017,233754.0
319,De Kolenkit,West,2017,219773.0
320,Geuzenbuurt,West,2017,272308.0
321,Van Galenbuurt,West,2017,232976.0
322,Hoofdweg eo,West,2017,232847.0
323,Westindische Buurt,West,2017,295618.0
324,Chassébuurt,West,2017,288036.0
325,Bedrijventerrein Sloterdijk,Nieuw-West,2017,
326,Slotermeer-Noordoost,Nieuw-West,2017,157018.0
327,Slotermeer-Zuidwest,Nieuw-West,2017,158871.0
328,Geuzenveld,Nieuw-West,2017,185583.0
329,Eendracht,Nieuw-West,2017,237948.0
330,Lutkemeer/Ookmeer,Nieuw-West,2017,430190.0
331,Osdorp-Oost,Nieuw-West,2017,183051.0
332,Osdorp-Midden,Nieuw-West,2017,197667.0
333,De Punt,Nieuw-West,2017,167009.0
334,Middelveldsche Akerpolder,Nieuw-West,2017,297287.0
335,Slotervaart-Noord,Nieuw-West,2017,220699.0
336,Overtoomse Veld,Nieuw-West,2017,208991.0
337,Westlandgracht,Nieuw-West,2017,218208.0
338,Sloter-/Riekerpolder,Nieuw-West,2017,290169.0
339,Slotervaart-Zuid,Nieuw-West,2017,198941.0
340,Zuidas,Zuid,2017,303047.0
341,Oude Pijp,Zuid,2017,334147.0
342,Nieuwe Pijp,Zuid,2017,305668.0
343,Zuid-Pijp,Zuid,2017,299994.0
344,Hoofddorppleinbuurt,Zuid,2017,308149.0
345,Schinkelbuurt,Zuid,2017,313400.0
346,Willemspark,Zuid,2017,808360.0
347,Museumkwartier,Zuid,2017,755109.0
348,Stadionbuurt,Zuid,2017,345993.0
349,Apollobuurt,Zuid,2017,839342.0
350,Scheldebuurt,Zuid,2017,403802.0
351,IJselbuurt,Zuid,2017,310993.0
352,Rijnbuurt,Zuid,2017,301239.0
353,Prinses Irenebuurt eo,Zuid,2017,625081.0
354,Buitenveldert-West,Zuid,2017,296458.0
355,Buitenveldert-Oost,Zuid,2017,266394.0
356,Weesperzijde,Oost,2017,367507.0
357,Oosterparkbuurt,Oost,2017,296108.0
358,Dapperbuurt,Oost,2017,289299.0
359,Transvaalbuurt,Oost,2017,283449.0
360,Indische Buurt-West,Oost,2017,253664.0
361,Indische Buurt-Oost,Oost,2017,251413.0
362,Oostelijk Havengebied,Oost,2017,377085.0
363,Zeeburgereiland/Nieuwe Diep,Oost,2017,150175.0
364,IJburg-West,Oost,2017,366179.0
365,IJburg-Zuid,Oost,2017,352869.0
366,Frankendael,Oost,2017,274148.0
367,Middenmeer,Oost,2017,356020.0
368,Betondorp,Oost,2017,230751.0
369,De Omval/Overamstel,Oost,2017,186082.0
370,Volewijck,Noord,2017,184154.0
371,IJplein/Vogelbuurt,Noord,2017,197581.0
372,Tuindorp Nieuwendam,Noord,2017,204509.0
373,Tuindorp Buiksloot,Noord,2017,194104.0
374,Nieuwendammerdijk/Buiksloterdijk,Noord,2017,439019.0
375,Tuindorp Oostzaan,Noord,2017,202216.0
376,Oostzanerwerf,Noord,2017,213785.0
377,Kadoelen,Noord,2017,299298.0
378,Waterlandpleinbuurt,Noord,2017,191231.0
379,Buikslotermeer,Noord,2017,177380.0
380,Banne Buiksloot,Noord,2017,191675.0
381,Noordelijke IJ-oevers-West,Noord,2017,243183.0
382,Noordelijke IJ-oevers-Oost,Noord,2017,168528.0
383,Waterland,Noord,2017,480514.0
384,Elzenhagen,Noord,2017,322014.0
385,Amstel III/Bullewijk,Zuidoost,2017,78137.0
386,"Bijlmer-Centrum (D,F,H)",Zuidoost,2017,135944.0
387,"Bijlmer-Oost (E,G,K)",Zuidoost,2017,156291.0
388,Nellestein,Zuidoost,2017,140373.0
389,Holendrecht/Reigersbos,Zuidoost,2017,153254.0
390,Gein,Zuidoost,2017,176573.0
391,Driemond,Zuidoost,2017,251670.0
392,Burgwallen-Oude Zijde,Centrum,2018,400010.0
393,Burgwallen-Nieuwe Zijde,Centrum,2018,391011.0
394,Grachtengordel-West,Centrum,2018,755091.0
395,Grachtengordel-Zuid,Centrum,2018,697576.0
396,Nieuwmarkt/Lastage,Centrum,2018,438942.0
397,Haarlemmerbuurt,Centrum,2018,458522.0
398,Jordaan,Centrum,2018,402186.0
399,De Weteringschans,Centrum,2018,515192.0
400,Weesperbuurt/Plantage,Centrum,2018,473643.0
401,Oostelijke Eilanden/Kadijken,Centrum,2018,381774.0
402,Westelijk Havengebied,Westpoort,2018,
403,Houthavens,West,2018,483318.0
404,Spaarndammer- en Zeeheldenbuurt,West,2018,322981.0
405,Staatsliedenbuurt,West,2018,325787.0
406,Centrale Markt,West,2018,396012.0
407,Frederik Hendrikbuurt,West,2018,338110.0
408,Da Costabuurt,West,2018,400998.0
409,Kinkerbuurt,West,2018,346255.0
410,Van Lennepbuurt,West,2018,322065.0
411,Helmersbuurt,West,2018,473981.0
412,Overtoomse Sluis,West,2018,409990.0
413,Vondelbuurt,West,2018,844347.0
414,Sloterdijk,West,2018,448161.0
415,Landlust,West,2018,277961.0
416,Erasmuspark,West,2018,283329.0
417,De Kolenkit,West,2018,269738.0
418,Geuzenbuurt,West,2018,333029.0
419,Van Galenbuurt,West,2018,283882.0
420,Hoofdweg eo,West,2018,287465.0
421,Westindische Buurt,West,2018,358346.0
422,Chassébuurt,West,2018,346607.0
423,Bedrijventerrein Sloterdijk,Nieuw-West,2018,93104.0
